Date,Time,Sqn,TOTAL ABORT?,Target Location,Target Description,Target Type,"Raid=1, Alert=0",Summary Rec (T/F) or Comments,COM-PLETE,Bomb Wgt (LB),A/C Launched,ABORT WX,ABORT MECH,ABORT OTHR,DIVERT WX,DIVRT MECH,DIV DISOR,BOMB-ING,Miss- ing,FL-NO DAMAGE,FL-DAMAGE,Alt. (Feet),Rec #,Air Fight ?,A/C Type,T.O. Time,RTB Time,Bombing Time or Midpoint,Dura- tion (Hrs),Base,Distance From Base (Km),Killed,Woun-ded,Damage (Marks),Damage (Francs),# Bombs,Time Lost (Hours),Other Cost (Marks),Other Cost (Francs),Alternate Location Name,Raid or Alert Length (Hrs),"Page #, Maurer Maurer, v.IV, or other Reference",Comments,Chrono- logical Order
17Mar17,Night,GB4/BM120,,Habsheim,Airfield,A,,"Bombing target: 1910-1940. 3 BM bombers; 1 other got lost & RTB, where it crashed. 96x115mm bombs. (I'm assuming these are the 8kg short 115mm bombs, not the 20kg long 115mm bombs.)  Although this raid was listed in the GB4 War Diary, BM120 may have been part of GB5 at this time.",,1690,4,,,1,,,,3,0,0,1,,,No,BM,,,19:10,,Luxeuil,75,,,,,96,,,,,,GB4 War Diary Image 0097,,1249
17Mar17,Night,GB4/F130,,Sarre Valley (Rail lines Metz-Maizières & Metz-Conflans as far as Chatel),Rail Lines,R,,"4 Farman F.40s. 24x155mm shells, which the War Diary says is 528kg (22kg each vice 25). Could not observe results on this very dark night.",,1162,4,,,,,,,4,0,0,0,,,No,Farman F.4x,,,,,,,,,,,24,,,,,,GB4 War Diary Images 0097-8,,1250
17Mar17,9:00,,,Thionville - Rail,,,0,"5 ALERTS: 2100-2118, 2245-2320, 0055-0110, 0200-0235, 0255-0320  - ""Great interruptions at depot.""",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,2.133333333,,,,2.133333333,NARA 990,,1251
17Mar17,Night,,,Differdange,,,1,2 RAIDS & 1 ALERT ON THIS NIGHT (17/18 MAR 1917). CASUALTIES & DIRECT DAMAGE UNKNOWN. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84660,,"Differdingen, Lux.",,NARA 990,,1252
17Mar17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,31000,,Luxembourg,,NARA 990 Roll 58,,1253
18Mar17,Night,Fr.,,Thionville,Factories (& rail?),,,More than 1 squadron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, V.3, p.142",,1254
21Mar17,21:20,,,Thionville - Rail,,,0,"ALERT AT 2120; LIGHTS OUT AT 2125 - ""Great interruptions at depot.""",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.916666667,,,,1,NARA 990,,1255
21Mar17,Night,,,Differdange,,,0,2 ALERTS. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,29880,,"Differdingen, Lux.",,NARA 990,,1256
21Mar17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,12000,,Luxembourg,,NARA 990 Roll 58,,1257
22Mar17,Day,3 Wing RNAS,FALSE,Burbach,Blast Furnaces,B,,AIR 1/2107 says  6 bombers escorted by 3 fighters; agrees on weight of bombs.,TRUE,1560,7,0,1,0,6,0,0,6,0,0,0,6500,15,No,Sopwith,7:45,10:45,9:15,3.00,Ochey,90,,,,,24,,,,,,,,1258
22Mar17,Day,N.23,,Herméville-en-Woëvre,Barracks,T,,"Technically, a/c type is unknown, but N.23 had 2 Sopwith 2-seaters and the rest Nieuports & Spads, so these raids were almost certainly done by the Sopwiths.",,,,,,,,,,1,,,,,,,Sopwith,,,,,Souilly,30,,,,,6,,,,,,"Kilduff, OTF 26/3 p.247",,1259
22Mar17,Night,Fr.,,Thionville,Factories,,,2 tons of bombs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, V.3, p.142",,1260
23Mar17,Day,N.23,,Montfaucon Woods,,T,,"Technically, a/c type is unknown, but N.23 had 2 Sopwith 2-seaters and the rest Nieuports & Spads, so these raids were almost certainly done by the Sopwiths.",,,,,,,,,,1,,,,,,,Sopwith,,,,,Souilly,30,,,,,6,,,,,,"Kilduff, OTF 26/3 p.247",,1261
23Mar17,Night,MF25,,Briey,Factories,,,,,,,,,,,,,,,,,,,,,,,,,Vadelaincourt,55,,,,,,,,,,,,,1262
23Mar17,Night,,,Differdange,,,0,ALERT ONLY. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,46812,,"Differdingen, Lux.",,NARA 990,,1263
23Mar17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,13500,,Luxembourg,,NARA 990 Roll 58,,1264
24Mar17,Day,N.23,,Braquis Wood,,T,,"Technically, a/c type is unknown, but N.23 had 2 Sopwith 2-seaters and the rest Nieuports & Spads, so these raids were almost certainly done by the Sopwiths.",,,,,,,,,,2,,,,,,,Sopwith,,,,,Souilly,30,,,,,12,,,,,,"Kilduff, OTF 26/3 p.247",,1265
25Mar17,Day,N.23,,Étain,,,,"Technically, a/c type is unknown, but N.23 had 2 Sopwith 2-seaters and the rest Nieuports & Spads, so these raids were almost certainly done by the Sopwiths.",,,,,,,,,,1,,,,,,,Sopwith,,,,,Souilly,30,,,,,6,,,,,,"Kilduff, OTF 26/3 p.247",,1266
25Mar17,Night,Fr./MF25,,Thionville & Briey Basin,Factories in Briey,,,1 ton of bombs dropped (source Middleton) - MF25 bombed Briey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, V.3, p.142 lists Thionville (no sqn listed)",,1267
25Mar17,21:20,,,Thionville - Rail,,,0,"4 ALERTS: 2120-2300, 0015-0115, 0120-0230, 0350-0415 - ""Lights at depot extinguished over 4 hours. Great traffic interruptions.""",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,4.083333333,,,,4.083333333,NARA 990,,1268
25Mar17,Night,,,Differdange,,,0,5 ALERTS ON THIS NIGHT (25/26 MAR 1917). CASUALTIES & DIRECT DAMAGE UNKNOWN. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,116532,,"Differdingen, Lux.",,NARA 990,,1269
25Mar17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,37500,,Luxembourg,,NARA 990 Roll 58,,1270
26Mar17,Night,MF25,,Mezeires,RR stn,,,AM PRESUMING THAT OBJECTIVE IS Maizières-Lès-Metz  --SCS,,,,,,,,,,,,,,,,,,,,,,Vadelaincourt,65,,,,,,,,,,,,,1271
26Mar17,21:30,,,"Rodange, Luxbrg.",,,0,Alert only.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,0.333,NARA 990,,1272
27Mar17,,,,Dieuze,,,1,Damage to buildings.,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1500,17,,,,(S of Bensdorf),,448,,1273
02Apr17,Night,,,Differdange,,,0,ALERT ONLY. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,11952,,"Differdingen, Lux.",,NARA 990,,1274
02Apr17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,7000,,Luxembourg,,NARA 990 Roll 58,,1275
03Apr17,11:45,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,,NARA 990 Roll 58,,1276
03Apr17,Night,,,Differdange,,,0,ALERT ONLY. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,23904,,"Differdingen, Lux.",,NARA 990,,1277
05Apr17,Night,3 Wing RNAS,FALSE,Arnaville,Rail Jtn,R,,"HP #1460 of No.3 Wing RNAS, pilot FSL E.B. Waller",TRUE,1200,2,1,0,0,0,0,0,1,0,0,0,,17,No,HP,23:40,1:20,0:45,1.70,Ochey,45,,,,,12,,,,,,AIR 1/2107,,1278
05Apr17,Night,100,FALSE,Douai,Aerodrome,A,,FALSE,TRUE,2640,11,-1,-1,-1,-1,-1,-1,11,1,0,0,,16,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1279
05Apr17,11:27,,,Thionville - Rail,,,0,"ALERT ONLY - RECORD COULD BE INTERPRETED OTHER WAYS, BUT NOT LIKELY. APPARENTLY DAYTIME RAID.  NO EXTINGUISHING OF LIGHTS MENTIONED.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.466666667,,,,0.466666667,NARA 990,,1280
06Apr17,Night,,,Differdange,,,0,ALERT ONLY. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,31872,,"Differdingen, Lux.",,NARA 990,,1281
06Apr17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,22500,,Luxembourg,,NARA 990 Roll 58,,1282
07Apr17,Night,100,FALSE,Douai,"RR Stn,Sidings,Aerodrome",A,,TRUE,TRUE,2000,9,-1,-1,-1,-1,-1,-1,9,1,0,0,,18,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1283
07Apr17,Night,100,FALSE,Douai,"RR Stn,Sidings",R,,FALSE,FALSE,280,9,-1,-1,-1,-1,-1,-1,9,1,0,0,,19,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1284
07Apr17,Night,100,FALSE,Douai,Aerodrome,A,,FALSE,FALSE,1720,9,-1,-1,-1,-1,-1,-1,9,1,0,0,,20,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1285
07Apr17,20:52,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.55,,,,0.55,NARA 990 Roll 58,,1286
08Apr17,Night,100,FALSE,Douai,Rail Line to Arras,R,,FALSE,TRUE,160,1,-1,-1,-1,-1,-1,-1,1,0,0,0,,21,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1287
08Apr17,Night,,,Differdange,,,0,ALERT ONLY. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,31872,,"Differdingen, Lux.",,NARA 990,,1288
08Apr17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,12500,,Luxembourg,,NARA 990 Roll 58,,1289
09Apr17,Night,100,FALSE,Douai,Trains & Stn near Douai,R,,FALSE,TRUE,800,6,-1,-1,-1,-1,-1,-1,5,0,3,0,,22,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1290
09Apr17,22:17,,,Thionville - Rail,,,0,"3 ALERTS: 2217-2240, 2310-2325, 2340-0020.  ""Traffic interruptions""",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.3,,,,1.3,NARA 990,,1291
09Apr17,Night,,,Differdange,,,0,2 ALERTS. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,54780,,"Differdingen, Lux.",,NARA 990,,1292
09Apr17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,20000,,Luxembourg,,NARA 990 Roll 58,,1293
11Apr17,22:00,,,Thionville - Rail,,,0,ALERT ONLY,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.333333333,,,,1.333333333,NARA 990,,1294
13Apr17,Night,3 Wing RNAS,FALSE,Hagendingen,Iron Wrks,B,,"HP #1459 of 3 Wing RNAS; pilot FSL J.F.Jones -- record only in AIR 12107, not in other lists of 3 Wing Activity",TRUE,1200,1,0,0,0,0,0,0,1,0,0,0,7000,24,No,HP,2:17,4:00,3:12,1.72,Ochey,75,,,,,12,,,,,,AIR 1/648/17/122/397,,1295
13Apr17,Night,3 Wing RNAS,FALSE,Chambley,Depot & Aerodrm,O,,"HP #1460 of 3 Wing RNAS; pilot FSL E.B. Waller -- record only in AIR 12107, not in other lists of 3 Wing Activity",TRUE,1200,1,0,0,0,0,1,0,1,0,0,0,8000,24,No,HP,2:55,4:26,3:55,1.52,Ochey,50,,,,,12,,,,,,AIR 1/648/17/122/397,,1296
13Apr17,Night,100,FALSE,Douai,Trains near Douai,R,,FALSE,TRUE,740,6,-1,-1,-1,-1,-1,-1,6,0,0,0,,23,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1297
13Apr17,Night,GB1,,"Juniville, Pont Faverger; ?",RR stns; Airfield,R,,"T.O.2130-2240 of 13 Voisins; 10 bombed, 2 did recce, 1 strafed airfield with cannon fire. Bombs/shells dropped/fired: 102x120mm; 31x155mm; 10x37mm (cannon shells). This calculates to 1801 kg, War Diary says 1833 kg.  CHANGED ""VOISIN"" TO ""VOISIN8"" BASED ON D&S INFO THAT NO VOISIN 5s REMAINED AFTER DEC1915 - CORROBORATED BY BOMBWGT/PLANE DATA.",,4033,11,,,,,,,11,0,0,3,,,No,Voisin8,21:30,,,,Villeneuve,,,,,,143,,,,,,GB1 War Diary Image 0145,,1298
13Apr17,Night,CEP115,,Courcelles s/ Nied; Dieuze,RR stn (prob.); Barracks,R,,TRUE,TRUE,4290,8,3,,,,,,5,0,0,0,5052,,No,Caproni,,,,1.75,Malzéville,40,,,,,159,,,,,,CEP115 Log Images 0063-4,"Martel 211 (Fr. Version) says CEP115 left GB1 on 7APR1917. Capronis #40,15,53 weather-aborted. FIRST USE OF 120mm (50 kg) Gros bombs.",1299
13Apr17,Night,CEP115,,Courcelles s/ Nied,RR Stn (probably),R,,FALSE,FALSE,2530,,,,,,,,3,,,,4812,,No,Caproni,,,,1.50,Malzéville,40,,,,,95,,,,,,CEP115 Log Images 0063-4,"Am presuming Courcelles target was RR stn since all other Courcelles strikes were there.  Bombed by Capronis 22,20,31.",1300
13Apr17,Night,CEP115,,Dieuze,Barracks,T,,FALSE,FALSE,1760,,,,,,,,2,,,,5413,,No,Caproni,,,,1.75,Malzéville,40,,,,,64,,,,,,CEP115 Log Images 0063-4,Bombed by Capronis 51 & 52.,1301
13Apr17,21:08,,,Thionville - Rail,,,0,"6 ALERTS: 2108-2240, 2245-0010, 0045-0150, 0200-0240, 0310-0355, 0410-0420. LIGHTS EXTINGUISHED AT 2110.  ""Because of darkness, Engineer Petold fell into turning platform.  Received head & shoulder injuries.  Lights at depot extinguished over 6 hours. Interruptions at coaling station.""",,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,0,7.166666667,,,,7.2,NARA 990,,1302
13Apr17,Night,,,Hagendingen,,,1,"Nine ""torpedoes"" (incl. 3 duds) dropped during the night of 13/14 April.  No damage.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,0,,Hagondange (Forges & Steel Mills),,388,,1303
13Apr17,Night,,,Differdange,,,0,3 ALERTS. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,139440,,"Differdingen, Lux.",,NARA 990,,1304
13Apr17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,27500,,Luxembourg,,NARA 990 Roll 58,,1305
14Apr17,Day,3 Wing RNAS,FALSE,Freiburg,Town,P,,FALSE,TRUE,2080,8,0,0,0,0,0,0,8,0,0,0,11000,25,,Sopwith,11:05,13:45,12:25,2.67,Luxeuil,110,,,,,32,,,,,,AIR 1/648/17/122/397,"Morning Raid: 1105-1345. Escorted by 5 Sopwith fighters (not counted), of which 2 did not return. Much damage and several fires seen in center of town.",1306
14Apr17,Day,3 Wing RNAS,FALSE,Freiburg,Town,P,,FALSE,TRUE,1820,7,0,0,0,0,0,0,7,0,0,1,,26,,Sopwith,15:30,18:20,16:55,2.83,Luxeuil,110,,,,,28,,,,,,AIR 1/648/17/122/397,"Afternoon Raid: 1530-1820. Accompanied by 3 Sopwith fighters (not counted), of which 1 did not return.",1307
14Apr17,Day,GB4/S.29,FALSE,Freiburg,Town,P,,"War Diary says this is a reprisal raid in response to the sinking of a hospital ship.  Six single-seat Sopwith bombers, 5 two-seat Sopwith protection planes from S.29 plus 3 Nieuport single-seaters from Groupe 515.  Am assuming the two-seaters did not drop bombs because the British ones didn't.  Dropped 22x65lb ""English"" bombs. Results in town not seen but British flyers saw lots of damage & fires in center of town. BRITISH record AIR 12107 says 15 French planes (6 bombers and 9 fighters, including 1 Spad not mentioned by the French) accompanied No.3 Wing on this reprisal raid.  Says 25 British machines (15 bombers and 8 fighters) dropped 3900 lbs and French dropped 1564 lbs. The latter appears to assume the S.29 dropped 24 bombs, 4 per plane, vice 22.  MARTEL (p.235) matches War Diary.",,1430,6,,,,,,,6,0,0,0,,,Yes,Sopwith,,,,,Luxieuil-St-Sauveur,110,,,,,22,,,,,,GB4 War Diary Images 0099-0100; AIR 1/2107; AIR 1/648/17/122/397; Martel 235,,1308
14Apr17,Night,GB1/VB114,,Betheniville,RR stn,R,,Recce flight & bombing mission by 1 Voisin.  T.O.2145.  Dropped 10x120mm & 3x155mm.,,372,1,,,,,,,1,0,0,0,,,No,Voisin8,21:45,,,,Villeneuve,50,,,,,13,,,,,,GB1 War Diary Image 0145,,1309
14Apr17,Day,,,Maizieres Works,,,1,Damage to park & clearing grounds; lighting & phone lines,,,,,,,,,,,,,,,,,,,,,,,,,,36085,,,,,,Rombas,,NARA 990 Roll 58,,1310
15Apr17,23:05,,,Thionville - Rail,,,0,"ALERT ONLY - ""Delay in engine movements.""",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.916666667,,,,0.916666667,NARA 990,,1311
17Apr17,Night,100,FALSE,Douai,Trains near Douai; Trucks,R,,FALSE,TRUE,500,3,-1,-1,-1,-1,-1,-1,3,0,0,0,,27,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1312
18Apr17,Night,GB1/VB114,Yes,?,?,,,Total abort due to high winds & low clouds.,,0,2,2,,,,,,0,0,0,1,,,,Voisin8,,,,,Villeneuve,,,,,,0,,,,,,GB1 War Diary Image 0146,,1313
19Apr17,Day,GB1,,Berru & Epoy,Troops on the march,T,,Presumably VC110 - fired cannon shells at troops at 1045,,18,,,,,,,,1,0,0,0,,,No,Voisin4,10:45,,,,Villeneuve,,,,,,15,,,,,,GB1 War Diary Image 0146,,1314
21Apr17,Night,GB1,,"Rethel, Semides, La Neuville, Pont Faverger, Juniville; Betheniville to Pont-Faverger",RR stns; Train,R,,"Bombed rail stns 2340-0135. One Voisin fired 15 cannon shells at a train (I AM INCLUDING THOSE IN BOMB WGT.)   CHANGED ""VOISIN"" TO ""VOISIN8"" BASED ON D&S INFO THAT NO VOISIN 5s REMAINED AFTER DEC1915 - CORROBORATED BY BOMBWGT/PLANE DATA.",,2702,,,,,,,,9,0,0,0,,,No,Voisin8,,,0:40,,Villeneuve,,,,,,111,,,,,,GB1 War Diary Image 0146,,1315
22Apr17,Night,"GB1/VC110,VB114",,"Amagne-Lucquy, Le Chatelet sur Retourne, Warmierville, Pont Faverger; Chateau-Porcieu & Nanteuil sur Aisne regions; others",RR stns; Bivouacs; Various,R,,"T.O. 2150-2335. 13 bombed, one shelled various targets with cannon fire. Dropped 122x120mm; 27x155mm, fired 21x37mm shells. War Diary totaled bomb weight incorrectly.",,4076,14,,,,,,,14,0,0,0,,,No,Voisin8,21:50,,,,Villeneuve,,,,,,170,,,,,,GB1 War Diary Image 0146,,1316
23Apr17,Night,GB1/VB114,,Isles s/ Suippes,"""Lights""",T,,Dropped bombs on some lights during a reconnaissance mission.,,264,,,,,,,,1,0,0,0,,,No,Voisin8,,,,,Villeneuve,,,,,,12,,,,,,GB1 War Diary Image 0147,,1317
23Apr17,Night,GB4,,Rhordorf (maybe),Rail Jtn,R,,Attempt to bomb Oberndorf at night with 2 Sopwith single-seat bombers. Mission 0345-0655. Sea of clouds. 1 bombed a rail jtn with 4x65lb English bombs; the other RTB with his bombs.,,260,2,1,,,1,,,1,0,0,0,1640,,No,Sopwith,3:45,6:55,5:20,3.17,Luxieuil-St-Sauveur,,,,,,4,,,,,,GB4 War Diary Images 0100-0101,,1318
23Apr17,Night,100,FALSE,Douai,Trains near Douai; Trucks,R,,FALSE,TRUE,760,6,-1,-1,-1,-1,-1,-1,6,0,0,0,,28,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1319
24Apr17,Day,"GB1/SOP66,111",,"Maurel, Grateuil",Barracks,T,,6 Sop. Strutters on a morning raid,,440,,,,,,,,6,0,0,0,,,No,Sopwith,,,,,Villeneuve,,,,,,20,,,,,,GB1 War Diary Image 0147,,1320
24Apr17,Night,GB1,,"Amagne-Lucquy, Warmierville, Pont Faverger, Betheniville; Neuville & Epoye; Merlan farm",RR stns; Bivouacs,O,,"T.O. 2100-2145; 1 of the 9 Voisins fired cannon at targets. Bomb wgt totals don't add up; am just using War Diary's total.  CHANGED ""VOISIN"" TO ""VOISIN8"" BASED ON D&S INFO THAT NO VOISIN 5s REMAINED AFTER DEC1915 - CORROBORATED BY BOMBWGT/PLANE DATA.",,4470,9,,,,,,,9,0,0,0,,,No,Voisin8,21:00,,,,Villeneuve,,,,,,170,,,,,,GB1 War Diary Image 0147,,1321
24Apr17,Night,GB4/F.130,,Neuenbourg (Neuenburg am Rhein),Factories,I,,Bombing 2150-2245. 5 Farmans dropping 30x155mm. No results seen. 1 fatal crash on return.,,1650,7,,2,,,,,5,0,0,1,,,No,Farman,,,21:50,,Luxeuil-les-Bains,90,,,,,30,,,,,,GB4 War Diary Image 0101,,1322
26Apr17,Night,100,FALSE,Douai,"Trains,Stn,MT near Douai",R,,FALSE,TRUE,760,6,-1,-1,-1,-1,-1,-1,5,0,0,0,,29,,FE2,,,,,Izel-lès-Hameau,40,,,,,,,,,,,G.K. Williams Summary,,1323
26Apr17,Night,"GB1/VC110,VB114",,"Juniville, Bazancourt, Machault, Pont-Faverger, Warmierville, Amagne-Lucquy, Bethienville, Selles (bivouacs), Catelet (stn & airfield)",RR Stns,R,,13 Voisins T.O. 2100-2130; 3 T.O. again 0130-0200.,,5698,16,,1,,,,,15,0,0,0,,,No,Voisin8,,,,,Villeneuve,,,,,,193,,,,,,GB1 War Diary Image 0147,,1324
26Apr17,Night,,,Differdange,,,1,1 RAID & 3 ALERTS ON THIS NIGHT (26/27 APR 1917). CASUALTIES & DIRECT DAMAGE UNKNOWN. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54780,,"Differdingen, Lux.",,NARA 990,,1325
26Apr17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,25000,,Luxembourg,,NARA 990 Roll 58,,1326
28Apr17,Night,GB1/VC110,,Epoye (region of),Bivouacs,T,,T.O. 2200-2245.,,220,3,2,,,,,,1,0,0,0,,,No,,22:00,,,,Villeneuve,,,,,,10,,,,,,GB1 War Diary Image 0148,,1327
28Apr17,Night,GB1/VB114,,Pont-Faverger & Betheniville,RR stns,R,,T.O.2145-2200; bombed 2225-2310.,,1045,3,,,,,,,3,0,0,0,,,No,Voisin8,21:45,,22:25,,Villeneuve,,,,,,37,,,,,,GB1 War Diary Image 0148,,1328
28Apr17,Night,GB1/VB114,,Pont-Faverger,RR stn,R,,T.O. 0015-0045.,,924,2,,,,,,,2,0,0,0,,,No,Voisin8,0:15,,,,Villeneuve,,,,,,30,,,,,,GB1 War Diary Image 0148,,1329
28Apr17,Night,,,Differdange,,,0,ALERT ONLY. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,14940,,"Differdingen, Lux.",,NARA 990,,1330
28Apr17,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,8500,,Luxembourg,,NARA 990 Roll 58,,1331
29Apr17,Day,GB4/S.29,,Habsheim,Airfield,A,,Bombed at 1310 with 8x65lb English bombs. 3 Sopwith bombers and 4 fighters (not counted) took off to raid Habsheim airfield. 1 bomber could not take off and 2 fighters force-landed with engine trouble before reaching the target. Crews saw 10 hangers and lots of construction at airfield.,,520,3,,1,,,,,2,,,,,,No,Sopwith,,,13:10,,Luxieuil-St-Sauveur,75,,,,,8,,,,,,GB4 War Diary Images 0101-2,,1332
29Apr17,Day,GB4/S.29,,Colmar; Herlisheim (E. of),Airfield; ?,O,,3 Sopwith bombers were accompanied by 1 Sopwith fighter.  Colmar airfield was the original target but was reached by only 1 bomber which dropped 4x65lb English bombs at 1315. 2nd bomber was waylaid by 2 German defenders and dropped same amount on target of convenience. Doesn't say what happened to the 3rd bomber.  10 photos taken over Colmar. ,,520,3,,,1,,,,2,,,,,,Yes,Sopwith,,,13:15,,Luxieuil-St-Sauveur,80,,,,,8,,,,,,GB4 War Diary Images 0101-2,,1333
29Apr17,Day,"GB1/SOP66,111",FALSE,Maison-Bleue,RR stn,R,,13 Strutters escorted by 10 SPADs in morning raid - T.O.1000-1025 - 2 fights on return,,704,13,,5,,,,,8,0,0,0,,,Yes,Sopwith,10:00,,,,Villeneuve,,,,,,32,,,,,,GB1 War Diary Image 0148,,1334
29Apr17,Night,"GB1/VC110,VB114",,"Amagne-Lucquy, Betheniville, Warmierville; Pont Faverger, Juniville; St-Pierre to St-Etienne à Arnes",RR stns; Bivouacs,R,,T.O.2100-2230; 8 Voisins from each escadrille,,5775,16,,,,,,,16,1,0,0,,,No,Voisin8,21:00,,,,Villeneuve,,,,,,201,,,,,,GB1 War Diary Image 0148,,1335
29Apr17,Night,GB4/F.130,,Colmar; Mulheim; Schlestadt (near); Black Forest,"Airfield, Rail Stn, Trains, Factory",O,,TRUE,TRUE,1162,5,,1,,,,,4,0,0,0,,,No,Farman,,,,,Luxeuil-les-Bains,75,,,,,24,,,,,,GB4 War Diary Image 0102,"Five Farmans T.O., 1 RTB with engine trouble. Each bombed their own target with 6x155mm = 132kg. Two pilots punished for not following orders tho I am not clear on the details.",1336
